"ID";"dive";"replicate";"Fecha";"Comunidad";"Sitio";"Latitud";"Longitud";"Habitat";"Zonificacion";"TipoProteccion";"ANP";"BuzoMonitor";"HoraInicial";"HoraFinal";"ProfundidadFinal";"Temperatura";"Visibilidad";"Corriente";"Transecto";"Genero";"Especie";"GeneroEspecie";"Sexo";"Abundancia";"Clase";"FM"
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Tripneustes";"depressus";"Tripneustes depressus";NA;6;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Pinctada";"mazatlanica";"Pinctada mazatlanica";NA;4;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Chama";"spp";"Chama spp";NA;69;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Pentaceraster";"cumingi";"Pentaceraster cumingi";NA;7;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Phataria";"unifascialis";"Phataria unifascialis";NA;4;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Eucidaris";"thouarsii";"Eucidaris thouarsii";NA;50;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 3";1;3;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;8;"Pinctada";"mazatlanica";"Pinctada mazatlanica";NA;17;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 4";1;4;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;9;"Pentaceraster";"cumingi";"Pentaceraster cumingi";NA;9;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 4";1;4;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;9;"Gorgoniidae";"spp";"Gorgoniidae spp";NA;3;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 4";1;4;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;9;"Tripneustes";"depressus";"Tripneustes depressus";NA;6;"invert";NA
